Name,State,Owner (WT),WT Source,Owner (Josh),Source,Notes,,,,,,,
Mantuan Downs Station,QLD,NORTH AUSTRALIAN PASTORAL COMPANY,Na,North Australian Pastoral Company,https://napco.com.au/our-story/#people-properties,,,,,,,,
Marion Downs Station,QLD,NORTH AUSTRALIAN PASTORAL COMPANY,Na,North Australian Pastoral Company,https://napco.com.au/our-story/#people-properties,,,,,,,,
Mittiebah Station,NT,NORTH AUSTRALIAN PASTORAL COMPANY,Na,North Australian Pastoral Company,https://napco.com.au/our-story/#people-properties,,,,,,,,
Monkira Station,QLD,NORTH AUSTRALIAN PASTORAL COMPANY,Na,North Australian Pastoral Company,https://napco.com.au/our-story/#people-properties,,,,,,,,
Portland Downs Station,QLD,NORTH AUSTRALIAN PASTORAL COMPANY,Na,North Australian Pastoral Company,https://napco.com.au/our-story/#people-properties,,,,,,,,
Wainui Feedlot and Farm,QLD,NORTH AUSTRALIAN PASTORAL COMPANY,Na,North Australian Pastoral Company,https://napco.com.au/our-story/#people-properties,,,,,,,,
Hodgson River Station,NT,NORTH STAR PASTORAL,northstarpastoral.com.au,North Star Pastoral,https://northstarpastoral.com.au/#,,,,,,,,
Limbunya,NT,NORTH STAR PASTORAL,northstarpastoral.com.au,North Star Pastoral,https://northstarpastoral.com.au/#,,,,,,,,
Maryfield Station,NT,NORTH STAR PASTORAL,northstarpastoral.com.au,North Star Pastoral,https://northstarpastoral.com.au/#,,,,,,,,
Venture/Kui Downs,QLD,NORTH STAR PASTORAL,northstarpastoral.com.au,North Star Pastoral,https://northstarpastoral.com.au/#,,,,,,,,
Wubalawun Station,NT,NORTH STAR PASTORAL,northstarpastoral.com.au,North Star Pastoral,https://northstarpastoral.com.au/#,,,,,,,,
Calrossie,NSW,ONE TREE AGRICULTURE-PROTERRA INVESTMENT PARTNERS,Na,,https://www.graincentral.com/property/one-tree-agriculture-lists-kinbeachie-aggregation-at-toobeah/,,,,,,,,
Calmyle,QLD,ONE TREE AGRICULTURE-PROTERRA INVESTMENT PARTNERS,Na,,https://www.theland.com.au/story/4084982/one-tree-agriculture-buys-qld-farm-for-56m/?cs=4951#!,,,,,,,,
Hylton Park,QLD,ONE TREE AGRICULTURE-PROTERRA INVESTMENT PARTNERS,Na,,Last I can find is it was owned by Racecourse Projects ,https://www.qt.com.au/news/mackay-sugar-buys-land/2816563/,,,,,,,
Marwood Farm,QLD,ONE TREE AGRICULTURE-PROTERRA INVESTMENT PARTNERS,Na,,https://www.stockandland.com.au/story/4084982/one-tree-agriculture-buys-qld-farm-for-56m/?cs=4584#!,,,,,,,,
Vaucluse,TAS,ONE TREE AGRICULTURE-PROTERRA INVESTMENT PARTNERS,Na,,https://www.afr.com/companies/agriculture/us-giant-cargill-buys-qld-farm-for-56m-20160804-gqkpfa,,,,,,,,
Gundaline Station,NSW,OPTIFARM PTY LTD,Na,,https://www.afr.com/property/commercial/southern-ag-and-blue-sky-sell-gundaline-station-to-optifarm-for-65m-20180413-h0yq87,,,,,,,,
Jemalong and Jemalong Citrus,NSW,OPTIFARM PTY LTD,Na,,https://www.theland.com.au/story/5332249/lachlan-sales-a-115m-pastoral-swansong-for-twynam/,,,,,,,,
Uri Park,NSW,OPTIFARM PTY LTD,Na,,https://www.theland.com.au/story/5332249/lachlan-sales-a-115m-pastoral-swansong-for-twynam/,,,,,,,,
Undabri,QLD,ORIENT AGRICULTURE,Na,,https://www.commercialrealestate.com.au/news/chinese-group-beefs-up-with-11m-purchase-of-kyabra-station-8669/,,,,,,,,
Mulka Station,SA,GARY OVERTON,Na,,https://www.adelaidenow.com.au/news/desert-fishing-business-booming/news-story/088554ab742e839cd4a3c2018baa78e6,,,,,,,,
Ellerston Station,NSW,PACKER FAMILY-ELLERSTON PTY LTD,Na,,Sold 50% to Crown in 2015 then Crown sold it in 2018 but don't know who to,https://www.crownresorts.com.au/CrownResorts/files/3d/3df49065-0cdc-42d5-af4f-b24af8741856.PDF,https://www.globallegalchronicle.com/consolidated-press-holdings-pty-limiteds-a62-5-million-acquisition-of-ellerston-golf-course-from-crown-resorts-limited/,,,,,,
Gilgal,NSW,PALGROVE HOLDINGS PTY LTD,Na,Palgrove,https://palgrove.com.au/contact/,,,,,,,,
Killaloo,QLD,PALGROVE HOLDINGS PTY LTD,Na,Palgrove,https://palgrove.com.au/contact/,,,,,,,,
Macintyre Station,NSW,PALGROVE HOLDINGS PTY LTD,Na,Palgrove,https://palgrove.com.au/contact/,,,,,,,,
Mountview,NSW,PALGROVE HOLDINGS PTY LTD,Na,Palgrove,https://palgrove.com.au/contact/,,,,,,,,
Rhodesia,QLD,PALGROVE HOLDINGS PTY LTD,Na,Palgrove,https://palgrove.com.au/contact/,,,,,,,,
Strathgarve and Palgrove,QLD,PALGROVE HOLDINGS PTY LTD,Na,Palgrove,https://palgrove.com.au/contact/,,,,,,,,
Boden’s Westerly Ranch,WA,PARDOO BEEF CORPORATION,pardoo.com,Pardoo Beef Corporation,https://www.pardoo.com/properties/,,,,,,,,
Chedaring Farm,WA,PARDOO BEEF CORPORATION,pardoo.com,Pardoo Beef Corporation,https://www.pardoo.com/properties/,,,,,,,,
Lake Glesna,WA,PARDOO BEEF CORPORATION,pardoo.com,Pardoo Beef Corporation,https://www.pardoo.com/properties/,,,,,,,,
Pardoo Station,WA,PARDOO BEEF CORPORATION,pardoo.com,Pardoo Beef Corporation,https://www.pardoo.com/properties/,,,,,,,,
Bunnamagoo,NSW,PASPALEY PASTORAL,paspaleygroup.com,Paspaley Group,http://www.paspaleygroup.com/pastoral,,,,,,,,
Dry River Station,NT,PASPALEY PASTORAL,paspaleygroup.com,Paspaley Group,http://www.paspaleygroup.com/pastoral,,,,,,,,
Eurunderee,NSW,PASPALEY PASTORAL,paspaleygroup.com,Paspaley Group,http://www.paspaleygroup.com/pastoral,,,,,,,,
Kurrajong Park,NSW,PASPALEY PASTORAL,paspaleygroup.com,Paspaley Group,http://www.paspaleygroup.com/pastoral,,,,,,,,
Melaleuca Station,NT,PASPALEY PASTORAL,paspaleygroup.com,Paspaley Group,http://www.paspaleygroup.com/pastoral,,,,,,,,
South Tahara,NSW,PASPALEY PASTORAL,paspaleygroup.com,Paspaley Group,https://www.afr.com/property/commercial/paspaley-adds-5-4m-station-to-empire-20100719-iv4k0,,,,,,,,
Thornthwaite,NSW,PASPALEY PASTORAL,paspaleygroup.com,Paspaley Group,http://www.paspaleygroup.com/pastoral,,,,,,,,
Mount Doreen Station,NT,PASSCHENDAELE CATTLE COMPANY,Na,Braitling Family,https://www.clc.org.au/media-releases/article/native-title-recognition-at-mount-doreen-station,,,,,,,,
Iffley,QLD,PEMBROKE RESOURCES,Na,Pembroke Resources,https://www.pembrokeresources.com.au/media.html,,,,,,,,
Bengerang,NSW,AUSTRALIAN FOOD AND FIBRE JV,Na,,https://www.graincentral.com/property/sale-of-auscotts-midkin-maintains-local-connection/,,,,,,,,
Midkin aggregation,NSW,AUSTRALIAN FOOD AND FIBRE JV,Na,,https://www.graincentral.com/property/sale-of-auscotts-midkin-maintains-local-connection/,,,,,,,,
BFB aggregation,NSW,BFB,Na,,https://www.graincentral.com/property/bfb-seeks-investment-partner-for-cropping-portfolio-expansion/,,,,,,,,
Millewa vineyard,VIC,BLUE SKY ALTERNATIVE INVESTMENTS,Na,,Receivers were appointed in 2019 - is it still trading? Who owns it now?,https://blueskyfunds.com.au/shareholder-centre/,,,,,,,
Bodallin Farms,WA,DAYBREAK CROPPING,Na,Warakirri Asset Management,http://daybreakcropping.com.au/properties/,,,,,,,,
Caringbah Farms,NSW,DAYBREAK CROPPING,Na,Warakirri Asset Management,http://daybreakcropping.com.au/properties/,,,,,,,,
Catumnal Farms,VIC,DAYBREAK CROPPING,Na,Warakirri Asset Management,http://daybreakcropping.com.au/properties/,,,,,,,,
Erregulla Plains,WA,DAYBREAK CROPPING,Na,Warakirri Asset Management,http://daybreakcropping.com.au/properties/,,,,,,,,
Kinbeachie Farms,WA,DAYBREAK CROPPING,Na,Warakirri Asset Management,http://daybreakcropping.com.au/properties/,,,,,,,,
Orana Farms,NSW,DAYBREAK CROPPING,Na,Warakirri Asset Management,http://daybreakcropping.com.au/properties/,,,,,,,,
Waddikee Farms,WA,DAYBREAK CROPPING,Na,Warakirri Asset Management,http://daybreakcropping.com.au/properties/,,,,,,,,
Alpha Station,QLD,HEWITT CATTLE AUSTRALIA,Na,Hewitt Cattle,https://hewittcattle.com.au/properties/,,,,,,,,
Ambalindum,NT,HEWITT CATTLE AUSTRALIA,Na,Hewitt Cattle,https://hewittcattle.com.au/properties/,,,,,,,,
Coolreagh,QLD,HEWITT CATTLE AUSTRALIA,Na,Hewitt Cattle,https://hewittcattle.com.au/properties/,,,,,,,,
Fork Lagoon/Jaydena,QLD,HEWITT CATTLE AUSTRALIA,Na,Hewitt Cattle,https://hewittcattle.com.au/properties/,,,,,,,,
Kangerong,QLD,HEWITT CATTLE AUSTRALIA,Na,Hewitt Cattle,https://hewittcattle.com.au/properties/,,,,,,,,
Mount Cooper,QLD,HEWITT CATTLE AUSTRALIA,Na,Hewitt Cattle,https://hewittcattle.com.au/properties/,,,,,,,,
Numery,NT,HEWITT CATTLE AUSTRALIA,Na,Hewitt Cattle,https://hewittcattle.com.au/properties/,,,,,,,,
Oakleigh,QLD,HEWITT CATTLE AUSTRALIA,Na,Hewitt Cattle,https://hewittcattle.com.au/properties/,,,,,,,,
Oakwood,QLD,HEWITT CATTLE AUSTRALIA,Na,Hewitt Cattle,https://hewittcattle.com.au/properties/,,,,,,,,
Pegunny Aggregation,QLD,HEWITT CATTLE AUSTRALIA,Na,Hewitt Cattle,https://hewittcattle.com.au/properties/,,,,,,,,
Pony Hills Aggregation,QLD,HEWITT CATTLE AUSTRALIA,Na,Hewitt Cattle,https://hewittcattle.com.au/properties/,,,,,,,,
Warilba,NSW,HEWITT CATTLE AUSTRALIA,Na,Hewitt Cattle,https://hewittcattle.com.au/properties/,,,,,,,,
Yorkshire,QLD,HEWITT CATTLE AUSTRALIA,Na,Hewitt Cattle,https://hewittcattle.com.au/properties/,,,,,,,,
Almond orchards,VIC,OLAM ORCHARDS AUSTRALIA,Na,Olam Orchards,http://irribiz.com.au/portfolio/olam-tocabil-almond-orchard/,,,,,,,,
Avocado orchards,QLD,SIMPSON FARMS,Na,Simpson Farms,https://www.simpsonfarms.com/about/,,,,,,,,
Trawalla,NSW,STAHMANN FARMS,Na,Stahmann Farms,http://www.stahmann.com.au/trawalla,,,,,,,,
Avondale Orchard,NSW,WEBSTER,Na,Webster,https://static1.squarespace.com/static/5770b8d4b8a79bc1087f2cfc/t/5df1d0e9366bea65d9caa0d7/1576128779589/19_12_12+Webster+Ltd+Annual+Report.pdf,,,,,,,,
Bringagee/Benerembah,NSW,WEBSTER,Na,Webster,https://www.asx.com.au/asxpdf/20151119/pdf/4333jzws42ghzq.pdf,,,,,,,,
Kooba Station,NSW,WEBSTER,Na,Webster,https://static1.squarespace.com/static/5770b8d4b8a79bc1087f2cfc/t/5df1d0e9366bea65d9caa0d7/1576128779589/19_12_12+Webster+Ltd+Annual+Report.pdf,,,,,,,,
Leeton orchard,NSW,WEBSTER,Na,Webster,https://static1.squarespace.com/static/5770b8d4b8a79bc1087f2cfc/t/5df1d0e9366bea65d9caa0d7/1576128779589/19_12_12+Webster+Ltd+Annual+Report.pdf,,,,,,,,
Motspur Park,NSW,WEBSTER,Na,Webster,https://static1.squarespace.com/static/5770b8d4b8a79bc1087f2cfc/t/5df1d0e9366bea65d9caa0d7/1576128779589/19_12_12+Webster+Ltd+Annual+Report.pdf,,,,,,,,
Packsaddle Station,NSW,WEBSTER,Na,Webster,https://www.abc.net.au/news/2019-02-05/webster-switches-from-cotton-to-sheep/10780658,,,,,,,,
Pevensey/Glenmea/South Farm,NSW,WEBSTER,Na,Webster,https://www.asx.com.au/asxpdf/20151119/pdf/4333jzws42ghzq.pdf,,,,,,,,
Sandy Valley Orchard,NSW,WEBSTER,Na,Webster,https://static1.squarespace.com/static/5770b8d4b8a79bc1087f2cfc/t/5b17b0088a922d09f21417ab/1528279049440/Webster+acquires+Sandy+Valley.pdf,,,,,,,,
Swansea Orchard,TAS,WEBSTER,Na,Webster,http://walnutsaustralia.com.au/about/,,,,,,,,
Tandou Station,NSW,WEBSTER,Na,Webster,https://static1.squarespace.com/static/5770b8d4b8a79bc1087f2cfc/t/5df1d0e9366bea65d9caa0d7/1576128779589/19_12_12+Webster+Ltd+Annual+Report.pdf,,,,,,,,
Rushy Lagoon,TAS,ALAN PYE,Na,,,,,,,,,,
Lal Lal Estate,VIC,WEN QUIGNAN,Na,,https://www.queenslandcountrylife.com.au/story/6669893/chinese-wool-magnate-buys-another-victorian-farm/,,,,,,,,
Mawallok Estate,VIC,WEN QUIGNAN,Na,,https://www.queenslandcountrylife.com.au/story/6669893/chinese-wool-magnate-buys-another-victorian-farm/,,,,,,,,
Baalgamman,NSW,REARDON FARMS,reardonfarms.com.au,Reardon Farms,http://www.reardonfarms.com.au/Menu-Top/Pages/LocationMaps.html,,,,,,,,
Delina Downs,QLD,REARDON FARMS,reardonfarms.com.au,Reardon Farms,http://www.reardonfarms.com.au/Menu-Top/Pages/LocationMaps.html,,,,,,,,
Kotaki,NSW,REARDON FARMS,reardonfarms.com.au,Reardon Farms,http://www.reardonfarms.com.au/Menu-Top/Pages/LocationMaps.html,,,,,,,,
Mirreyah,QLD,REARDON FARMS,reardonfarms.com.au,Reardon Farms,http://www.reardonfarms.com.au/Menu-Top/Pages/LocationMaps.html,,,,,,,,
Riverside,QLD,REARDON FARMS,reardonfarms.com.au,Reardon Farms,http://reardonfarms.com.au/Menu2-TheFarms/Pages/QldFarms.html,,,,,,,,
Tandawanna,QLD,REARDON FARMS,reardonfarms.com.au,Reardon Farms,http://reardonfarms.com.au/Menu2-TheFarms/Pages/QldFarms.html,,,,,,,,
Willarie,QLD,REARDON FARMS,reardonfarms.com.au,Reardon Farms,http://www.reardonfarms.com.au/Menu-Top/Pages/LocationMaps.html,,,,,,,,
Wolonga,QLD,REARDON FARMS,reardonfarms.com.au,Reardon Farms,http://www.reardonfarms.com.au/Menu-Top/Pages/LocationMaps.html,,,,,,,,
Worral Creek,QLD,REARDON FARMS,reardonfarms.com.au,Reardon Farms,http://www.reardonfarms.com.au/Menu-Top/Pages/LocationMaps.html,,,,,,,,
Yarramildi,QLD,REARDON FARMS,reardonfarms.com.au,Reardon Farms,http://reardonfarms.com.au/Menu2-TheFarms/Pages/QldFarms.html,,,,,,,,
Aroona Station,NT,HANCOCK PROSPECTING,Na,Hancock Prospecting,https://www.hancockprospecting.com.au/about-us/,,,,,,,,
Boogadah/Kagan,NSW,HANCOCK PROSPECTING,Na,Hancock Prospecting,https://www.hancockprospecting.com.au/rinehart-builds-wagyu-herd/,,,,,,,,
Fossil Downs Station,WA,HANCOCK PROSPECTING,Na,Hancock Prospecting,https://www.hancockprospecting.com.au/featured_item/agriculture/,Gina Reinhart,,,,,,,
Glencoe Station,NSW,HANCOCK PROSPECTING,Na,Hancock Prospecting,https://www.hancockprospecting.com.au/rinehart-builds-wagyu-herd/,Gina Reinhart,,,,,,,
Glendon Park,NSW,HANCOCK PROSPECTING,Na,Hancock Prospecting,https://www.hancockprospecting.com.au/hancock-purchases-glendon-park-new-south-wales/,Gina Reinhart,,,,,,,
Holyrood,QLD,HANCOCK PROSPECTING,Na,Hancock Prospecting,https://www.kidman.com.au/locations/rockybank-station/,Gina Reinhart,,,,,,,
Inverway and Riveren Station,NT,HANCOCK PROSPECTING,Na,Hancock Prospecting,https://www.hancockprospecting.com.au/featured_item/agriculture/,Gina Reinhart,,,,,,,
Liveringa Station,WA,HANCOCK PROSPECTING,Na,Hancock Prospecting,https://www.hancockprospecting.com.au/featured_item/agriculture/,Gina Reinhart,,,,,,,
Maydan Feedlot,QLD,HANCOCK PROSPECTING,Na,Hancock Prospecting,https://www.hancockprospecting.com.au/wp-content/uploads/2018/11/AFR-Gina-Rinehart-beefs-up-Wagyu-business-with-cattle-station-purchase.pdf,Gina Reinhart,,,,,,,
Mulga Downs Station,WA,HANCOCK PROSPECTING,Na,Hancock Prospecting,https://www.hancockprospecting.com.au/featured_item/agriculture/,Gina Reinhart,,,,,,,
Nerrima Station,WA,HANCOCK PROSPECTING,Na,Hancock Prospecting,https://www.hancockprospecting.com.au/featured_item/agriculture/,Gina Reinhart,,,,,,,
Sundown Valley,NSW,HANCOCK PROSPECTING,Na,Hancock Prospecting,https://www.kidman.com.au/hancock-purchases-sundown-valley-and-gunnee-farm/,Gina Reinhart,,,,,,,
Phoenix Park Feedlot,NT,HANCOCK PROSPECTING,Na,Hancock Prospecting,https://www.hancockprospecting.com.au/featured_item/agriculture/,Gina Reinhart,,,,,,,
Willeroo Station,NT,HANCOCK PROSPECTING,Na,Hancock Prospecting,https://www.ginarinehart.com.au/hancock-purchases-willeroo-cattle-station-nt/,Gina Reinhart,,,,,,,
Warrabah Station,NSW,HANCOCK PROSPECTING,Na,Hancock Prospecting,https://www.propertyobserver.com.au/finding/location/rural/105181-gina-rinehart-buys-warrabah-station-in-new-england.html,Gina Reinhart,,,,,,,
Brunchilly Station,NT,S KIDMAN AND CO,Na,S.Kidman & Co,https://www.kidman.com.au/locations/,Gina Reinhart,,,,,,,
Durham Downs Station,QLD,S KIDMAN AND CO,Na,S.Kidman & Co,https://www.kidman.com.au/locations/,Gina Reinhart,,,,,,,
Durrie Station,QLD,S KIDMAN AND CO,Na,S.Kidman & Co,https://www.kidman.com.au/locations/,Gina Reinhart,,,,,,,
Glengyle Station,QLD,S KIDMAN AND CO,Na,S.Kidman & Co,https://www.kidman.com.au/locations/,Gina Reinhart,,,,,,,
Helen Springs Station,NT,S KIDMAN AND CO,Na,S.Kidman & Co,https://www.kidman.com.au/locations/,Gina Reinhart,,,,,,,
Innamincka Station,SA,S KIDMAN AND CO,Na,S.Kidman & Co,https://www.kidman.com.au/locations/,Gina Reinhart,,,,,,,
Macumba Station,SA,S KIDMAN AND CO,Na,S.Kidman & Co,https://www.kidman.com.au/locations/,Gina Reinhart,,,,,,,
Morney Plains Station,QLD,S KIDMAN AND CO,Na,S.Kidman & Co,https://www.kidman.com.au/locations/,Gina Reinhart,,,,,,,
Naryilco Station,QLD,S KIDMAN AND CO,Na,S.Kidman & Co,https://www.kidman.com.au/locations/,Gina Reinhart,,,,,,,
Rockybank Station,QLD,S KIDMAN AND CO,Na,S.Kidman & Co,https://www.kidman.com.au/locations/,Gina Reinhart,,,,,,,
Ruby Plains Station,WA,S KIDMAN AND CO,Na,S.Kidman & Co,https://www.kidman.com.au/locations/,Gina Reinhart,,,,,,,
Sturt Creek Outstation,WA,S KIDMAN AND CO,Na,S.Kidman & Co,https://www.kidman.com.au/locations/,Gina Reinhart,,,,,,,
Tungali Feedlot,SA,S KIDMAN AND CO,Na,S.Kidman & Co,https://www.kidman.com.au/about-us/s-kidman-co/,Gina Reinhart,,,,,,,
Woomanooka Outstation,QLD,S KIDMAN AND CO,Na,S.Kidman & Co,https://www.kidman.com.au/locations/,Gina Reinhart,,,,,,,
Chowilla Station,SA,ROBERTSON CHOWILLA PTY LTD,Na,Roberston-Chowilla Pty,http://www.chowilla.com.au/History.php,,,,,,,,
Jeogla Station,NSW,ROCHE GROUP,rochegroup.com.au,Roche Group,https://www.rochegroup.com.au/jeogla-and-wallamumbi-pastoral-company.html,,,,,,,,
Wallamumbi Station,NSW,ROCHE GROUP,rochegroup.com.au,Roche Group,https://www.rochegroup.com.au/jeogla-and-wallamumbi-pastoral-company.html,,,,,,,,
Brackenburgh aggregation,QLD,JOHN & ROBYN ROGER,Na,,https://www.beefcentral.com/property/22-25m-bid-secures-northwest-qld-showcase-brackenburgh-aggregation/,,,,,,,,
Hatchem Downs,QLD,JOHN & ROBYN ROGER,Na,,https://www.beefcentral.com/property/22-25m-bid-secures-northwest-qld-showcase-brackenburgh-aggregation/,,,,,,,,
Brawlin Springs,NSW,ROMANI PASTORAL COMPANY,romanipastoral.com.au,Romani Pastoral Company,https://www.romanipastoral.com.au/,,,,,,,,
Garangula,NSW,ROMANI PASTORAL COMPANY,romanipastoral.com.au,Romani Pastoral Company,https://www.romanipastoral.com.au/,,,,,,,,
Mandeville,NSW,ROMANI PASTORAL COMPANY,romanipastoral.com.au,Romani Pastoral Company,https://www.romanipastoral.com.au/,,,,,,,,
Windy Station,NSW,ROMANI PASTORAL COMPANY,romanipastoral.com.au,Romani Pastoral Company,https://www.romanipastoral.com.au/,,,,,,,,
Burra Creek Wines,SA,SIMON & ANDREA ROWE,Na,Princess Royal ,https://www.princessroyal.com.au/princess-royal-station-media,,,,,,,,
Mackerode Station,SA,SIMON & ANDREA ROWE,Na,Princess Royal ,https://www.princessroyal.com.au/princess-royal-station-media,,,,,,,,
Princess Royal Station and feedlot,SA,SIMON & ANDREA ROWE,Na,Princess Royal ,https://www.princessroyal.com.au/princess-royal-station-media,,,,,,,,
Wertaloona Station,SA,SIMON & ANDREA ROWE,Na,Princess Royal ,https://www.princessroyal.com.au/princess-royal-station-media,,,,,,,,
Wooltana Station,SA,SIMON & ANDREA ROWE,Na,Princess Royal ,https://www.princessroyal.com.au/blog/mustering,,,,,,,,
Bonmac,QLD,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/macadamias/,,,,,,,,
Caroona feedlot,NSW,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/cattle-assets/,,,,,,,,
Cerberus,QLD,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/cattle-assets/,,,,,,,,
Cobungra Station,VIC,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/cattle-assets/,,,,,,,,
Comanche,QLD,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/cattle-assets/,,,,,,,,
Dohnt vineyard,SA,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/vineyards/,,,,,,,,
Dyamberin,NSW,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/cattle-assets/,,,,,,,,
Geier vineyard,SA,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/vineyards/,,,,,,,,
Hahn vineyard,SA,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/vineyards/,,,,,,,,
Kerarbury/Kamelda,NSW,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/almonds/,,,,,,,,
Kleinig vineyard,SA,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/vineyards/,,,,,,,,
Lynora Downs,QLD,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/cotton/,,,,,,,,
Mayneland,Na,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/cotton/,,,,,,,,
Mooral,NSW,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/almonds/,,,,,,,,
Mundy vineyard,SA,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/vineyards/,,,,,,,,
Murphy vineyard,SA,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/vineyards/,,,,,,,,
Mungindi feedlot,NSW,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/cattle-assets/,,,,,,,,
Mutton Hole,QLD,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/cattle-assets/,,,,,,,,
Natal Downs,QLD,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/cattle-assets/,,,,,,,,
Oakland Park,QLD,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/cattle-assets/,,,,,,,,
Petro,WA,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/wp-content/uploads/2019/12/November-Newsletter-2019-Final.pdf,,,,,,,,
Prime City feedlot,NSW,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/cattle-assets/,,,,,,,,
Rewan Station,QLD,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/cattle-assets/,,,,,,,,
Rosebank vineyard,VIC,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/vineyards/,,,,,,,,
Tocabil,NSW,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/almonds/,,,,,,,,
Woodburn,NSW,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/cattle-assets/,,,,,,,,
Yilgah,NSW,RURAL FUNDS GROUP,Na,Rural Funds Group,https://ruralfunds.com.au/rural-funds-group/fund-information/assets/almonds/,,,,,,,,
Wellbourn Hill,SA,SAMPSON FAMILY,Na,C.F Sampson & D.J Sampson,https://abr.business.gov.au/ABN/View/48679246617,,,,,,,,
Ammaroo Station,NT,SANDOVER PASTORAL COMPANY,Na,,https://www.qt.com.au/news/pastoral-ground-in-strong-family-hands/2924161/,,,,,,,,
Derry Downs Station,NT,SANDOVER PASTORAL COMPANY,Na,,https://www.qt.com.au/news/pastoral-ground-in-strong-family-hands/2924161/,,,,,,,,
Dneiper Station,NT,SANDOVER PASTORAL COMPANY,Na,,https://www.qt.com.au/news/pastoral-ground-in-strong-family-hands/2924161/,,,,,,,,
Old MacDonald Station,NT,SANDOVER PASTORAL COMPANY,Na,,https://www.qt.com.au/news/pastoral-ground-in-strong-family-hands/2924161/,,,,,,,,
Carmor Plains,NT,SARAWALK ECONOMIC DEVELOPMENT CORPORATION,Na,,https://www.abc.net.au/news/rural/2019-05-22/top-end-cattle-property-carmor-plains-bought-by-malaysians/11129848,,,,,,,,
Nicoletti Group,WA,SAUDI AGRICULTURAL & LIVESTOCK INVESTMENT COMPANY,Na,,https://www.farmweekly.com.au/story/6011398/grain-king-nicolettis-farms-sold/,,,,,,,,
Suplejack Downs,NT,RUSSELL SAVAGE & FAMILY,Na,,https://www.jll.com.au/en/newsroom/suplejack-station-sold,,,,,,,,
McDonald Downs,NT,SCOTT CATTLE COMPANY,Na,,https://www.beefcentral.com/property/property-8-6m-macdonald-downs-deal-continues-strong-sales-in-central-australia/,,,,,,,,
Thylungera Station,QLD,SCOTT CATTLE COMPANY,Na,,https://www.abc.net.au/news/2008-10-09/new-owner-for-thylungra-station/536044,,,,,,,,
Lake Cullulleraine orchard,VIC,SELECT HARVESTS,selectharvests.com.au,Select Harvests,https://selectharvests.com.au/documents/SHV_Annual-Report-2019.pdf,,,,,,,,
Robinvale/Euston orchards,VIC,SELECT HARVESTS,selectharvests.com.au,Select Harvests,https://selectharvests.com.au/documents/SHV_Annual-Report-2019.pdf,,,,,,,,
Griffith/Hillston orchards,NSW,SELECT HARVESTS,selectharvests.com.au,Select Harvests,https://selectharvests.com.au/documents/SHV_Annual-Report-2019.pdf,,,,,,,,
