Name,State,Owner (WT),WT Source,Owner (Josh),Source,Notes,,,,,,,
Murnpeowie Station,SA,BROOK PROPRIETORS,Na,,https://www.queenslandcountrylife.com.au/story/4801430/good-outlook-for-brook/,,,,,,,,
Alroy Downs Station,NT,STERLING BUNTINE-BALDY BAY,Na,,https://www.farmweekly.com.au/story/6105571/buntine-purchases-a-second-cpc-property/,,,,,,,,
Bedford Downs Station,WA,STERLING BUNTINE-BALDY BAY,Na,,https://www.farmweekly.com.au/story/6105571/buntine-purchases-a-second-cpc-property/,,,,,,,,
Mapala Station,,,,,https://www.queenslandcountrylife.com.au/story/6087005/buntine-buys-cpcs-comely-station/,Baldy Bay company,,,,,,,
Comely ,QLD,STERLING BUNTINE-BALDY BAY,Na,,https://www.queenslandcountrylife.com.au/story/6087005/buntine-buys-cpcs-comely-station/,Baldy Bay company,,,,,,,
Dalmore Downs Station,NT,STERLING BUNTINE-BALDY BAY,Na,,https://www.beefcentral.com/property/cpc-property-sell-down-continues-with-mimong-station-sale/,Baldy Bay company,,,,,,,
Landsdowne Station,NT,STERLING BUNTINE-BALDY BAY,Na,,https://www.farmweekly.com.au/story/6105571/buntine-purchases-a-second-cpc-property/,Lansdowne?,,,,,,,
Lissadell Station,WA,STERLING BUNTINE-BALDY BAY,Na,,https://www.theland.com.au/story/5956557/cpc-sells-kynuna-holding-mimong/?cs=3978,Baldy Bay company,,,,,,,
Mimong Station,QLD,STERLING BUNTINE-BALDY BAY,Na,,https://www.farmweekly.com.au/story/6105571/buntine-purchases-a-second-cpc-property/,Baldy Bay company,,,,,,,
Tulmur,QLD,STERLING BUNTINE-BALDY BAY,Na,,https://www.sheepcentral.com/property-sales/results/?search=tulmur&x=0&y=0,,,,,,,,
Manbullo Station,NT,BURATOVICH FAMILY,Na,,https://www.abc.net.au/radio/programs/nt-country-hour/buratovich-family-cropping-plans-for-katherine-cattle-stations/11917490,Cross Pacific Investments,,,,,,,
Scott Creek,NT,BURATOVICH FAMILY,Na,,https://www.abc.net.au/radio/programs/nt-country-hour/buratovich-family-cropping-plans-for-katherine-cattle-stations/11917490,Cross Pacific Investments,,,,,,,
Sturt Downs,NT,BURATOVICH FAMILY,Na,,https://www.abc.net.au/radio/programs/nt-country-hour/buratovich-family-cropping-plans-for-katherine-cattle-stations/11917490,Cross Pacific Investments,,,,,,,
Aileron Station,NT,CAASON GROUP-AILERON PASTORAL HOLDINGS,aileronpastoral.com.au,Caason Group,https://aileronpastoral.com.au/our-station/,,,,,,,,
Morooco,QLD,CAMM AGRICULTURAL GROUP,Na,,https://theurbandeveloper.com/articles/camm-agricultural-groups-places-queensland-farm-market,,,,,,,,
Wonga Plains Feedlot,QLD,CAMM AGRICULTURAL GROUP,Na,,https://www.mccullough.com.au/client_results/camm-agricultural-group/,Sale and lease back? Now owned by Rural Funds?,,,,,,,
Carrington Farms,QLD,CARRINGTON COTTON CORP-RMI PTY LTD,Na,,https://www.mla.com.au/news-and-events/industry-news/focus-on-eating-quality-key-to-success-for-carrington-cotton/,Think owned by RMI (Carrington Cotton) which is owned by the Marchants but can't find anything,,,,,,,
Balranald Vineyard,NSW,CK LIFE SCIENCES,lifesciences.com,,,,,,,,,,
Bussorah Vineyard,SA,CK LIFE SCIENCES,lifesciences.com,CK Life Sciences,http://www.belvinoinvestments.com/properties/portfolio.aspx,Caymans?,,,,,,,
Dalmeny Vineyard,SA,CK LIFE SCIENCES,lifesciences.com,CK Life Sciences,http://www.belvinoinvestments.com/properties/portfolio.aspx,Caymans?,,,,,,,
Hanwood Vineyard,NSW,CK LIFE SCIENCES,lifesciences.com,,,,,,,,,,
Lionels Vineyard,WA,CK LIFE SCIENCES,lifesciences.com,CK Life Sciences,http://www.belvinoinvestments.com/properties/portfolio.aspx,Caymans?,,,,,,,
Miamba Vineyard,SA,CK LIFE SCIENCES,lifesciences.com,CK Life Sciences,http://www.belvinoinvestments.com/properties/portfolio.aspx,Caymans?,,,,,,,
Nangiloc Colignan Farms,VIC,CK LIFE SCIENCES,lifesciences.com,,,,,,,,,,
Nicoletti Farms,WA,CK LIFE SCIENCES,lifesciences.com,,,,,,,,,,
Old Land Vineyard,WA,CK LIFE SCIENCES,lifesciences.com,CK Life Sciences,http://www.belvinoinvestments.com/properties/portfolio.aspx,Caymans?,,,,,,,
Qualco East Vineyard,SA,CK LIFE SCIENCES,lifesciences.com,CK Life Sciences,http://www.belvinoinvestments.com/properties/portfolio.aspx,Caymans?,,,,,,,
Qualco West Vineyard,SA,CK LIFE SCIENCES,lifesciences.com,CK Life Sciences,http://www.belvinoinvestments.com/properties/portfolio.aspx,Caymans?,,,,,,,
Rowe Road Vineyard,WA,CK LIFE SCIENCES,lifesciences.com,CK Life Sciences,http://www.belvinoinvestments.com/properties/portfolio.aspx,Caymans?,,,,,,,
Schuberts Vineyard,SA,CK LIFE SCIENCES,lifesciences.com,,,,,,,,,,
Sirens Vineyard,WA,CK LIFE SCIENCES,lifesciences.com,,,,,,,,,,
Station and Kirkgate vineyards,SA,CK LIFE SCIENCES,lifesciences.com,CK Life Sciences,http://www.belvinoinvestments.com/properties/portfolio.aspx,Caymans?,,,,,,,
Stephendale Vineyard,NSW,CK LIFE SCIENCES,lifesciences.com,CK Life Sciences,http://www.belvinoinvestments.com/properties/portfolio.aspx,Caymans?,,,,,,,
White Road Vineyards and Orchards,NSW,CK LIFE SCIENCES,lifesciences.com,CK Life Sciences,http://www.belvinoinvestments.com/properties/portfolio.aspx,Caymans?,,,,,,,
Argyle Downs,WA,CLEAN AGRICULTURE & INTERNATIONAL TOURISM,Na,Clean Agriculture and International Tourism,https://www.abc.net.au/news/rural/2020-03-05/vietnamese-companys-plans-for-top-end-cattle-country/11951422,Vietnamese company,https://www.claytonutz.com/knowledge/2020/march/clayton-utz-advises-vietnamese-agribusiness-on-milestone-130-million-investment-into-australia,,,,,,
Auvergne Station,NT,CLEAN AGRICULTURE & INTERNATIONAL TOURISM,Na,Clean Agriculture and International Tourism,https://www.abc.net.au/news/rural/2020-03-05/vietnamese-companys-plans-for-top-end-cattle-country/11951422https://www.abc.net.au/news/rural/2020-03-05/vietnamese-companys-plans-for-top-end-cattle-country/11951422,Vietnamese company,https://www.claytonutz.com/knowledge/2020/march/clayton-utz-advises-vietnamese-agribusiness-on-milestone-130-million-investment-into-australia,,,,,,
Newry Station,NT,CLEAN AGRICULTURE & INTERNATIONAL TOURISM,Na,Clean Agriculture and International Tourism,https://www.abc.net.au/news/rural/2020-03-05/vietnamese-companys-plans-for-top-end-cattle-country/11951422,Vietnamese company,https://www.claytonutz.com/knowledge/2020/march/clayton-utz-advises-vietnamese-agribusiness-on-milestone-130-million-investment-into-australia,,,,,,
